id,paragraphs
97,game throne preserved skull balerion dragon packed away dungeon level forgotten fall targaryen dynasty house dragon targaryens height power venerate dragon producer came idea balerion skull would preserved dedicated shrine dragon died later targaryen king daenerys father would display skull lined throne room prop balerion skull series simply use prop seen game throne apart different shape time notably black white book explain dragonbone disproportionately strong due high iron content new balerion prop skull nine meter long took seven week make 3
98,rhaenyra alicent scene red keep godswood weirwood heart tree castle godswood book game throne simply extra budget show screen early season notably heart tree book actually oak weirwood apparently king landing relatively new city simply pre existing weirwood contrast castle godswoods built around pre existing heart tree left child forest
99,great council harrenhal
100,according adult rhaenyra voiceover tragedy claimed jaehaerys son without mentioning name elder son prince aemon targaryen killed crossbow bolt throat skirmish myrish pirate nine year earlier 101 ac younger brother baelon targaryen died appendicitis
101,scroll jaehaerys open giving final result identifies viserys parent jaehaerys son baelon baelon sister wife alyssa later episode viserys say dialogue name newborn son baelon specify naming father
102,phrasing son may caused confusion whether jaehaerys son cut tv canon official guide confirms jaehaerys 13 child three son survived cradle third son vaegon became archmaester could inherit addition fact older brother surviving child stronger claim
103,detail great council harrenhal somewhat condensed tv version book final two candidate viserys rhaenys son laenor rhaenys counted one potential candidate 14 total still broadly speaking seen vote bloodline viserys rhaenys tv series also say 14 candidate unclear laenor laena included count book though 11 14 candidate ever described book complete list disrupt
104,jaehaerys physically present harrenhal long deliberation either older travel thought inappropriate though plausibly could come final tally
105,rhaenyra voiceover list time great council targaryens possessed 10 adult dragon presumably included vermithor silverwing belonging jaehaerys sister wife caraxes ridden jaehaerys first son vhagar ridden baelon meleys ridden alyssa dreamfyre mount jaehaerys dead older sister syrax bonded rhaenyra seasmoke bonded laenor point book though yet ride count yield 8 two older dragon known alive point living wild dragonstone unclaimed rider dragon would hatch claimed reign viserys
106,entire brief council scene filmed entirely greenscreen rather build massive harrenhal set barely use season 1 actually filmed iron throne room set biggest internal set halfway construction surface finished painted wood wall green hung green screen ceiling part actually constructed jaehaerys throne step leading harrenhal vast ruin seen game throne section castle design drew inspiration various ancient cathedral whitby abbey 3
107,small council
108,viserys small council episode consists otto hightower hand king ser ryam redwyne lord commander kingsguard grand maester mellos corlys velaryon master ship lyman beesbury master coin lyonel strong master law seventh position master whisperer spymaster present book identity viserys spymaster first half reign whether even one time stated
109,small council somewhat condensed book corlys velaryon resigned position master ship protest wife child passed throne great council harrenhal conversation tv corlys council scene conveyed written correspondence messenger book complaining king triarchy affect shipping lane stepstones tv series shifted face face conversation displace character unknown viserys master ship first half reign
110,corlys velaryon introduces recent alliance free city calling triarchy triple alliance lys myr tyrosh name noted misnomer universe ruled triarchs way volantis rather tv corlys say alliance
111,grand maester mellos tv series condensation two grand maesters book one first half viserys reign man named runciter replaced mellos second half viserys reign term personality match book mellos particularly go suggestion leechings maesters narrative argue various chemical tincture would effective
112,otto note daemon seat small council commander city watch technically one formal seven office council like hand king master ship long tradition commander city watch indeed seat council table advisor
113,viserys point otto near end episode book tried giving daemon royal office keep occupied trouble resulting brief stint daemon served master law master coin hated made commander city watch
114,daemon created modern city watch book gave eponymous gold cloak standard uniform brutal crackdown crime city played several month book condensed one major raid tv episode still quite accurate book noted daemon enthusiastically cut hand thief castrated raper
115,daemon refers wife rhea royce bronze bitch quip vale men sex sheep prettier woman remark quote book daemon call rhea bronze bitch house royce famous ancestral bronze armor
116,meeting end viserys remark maybe strict order imposed new city watch good thing city falling chaos ever since grandmother died book queen alysanne targaryen died two year great council harrenhal death left jaehaerys shell man compounded sudden death son viserys father baelon jaehaerys lived remaining two year reign feeble bedridden thus since alysanne death royal administration city fallen state disrepair
117,little detail small council placing smooth stone called totem official guide table meeting session basis book viserys specific totem made material called septarian dragon stone totem left big plate center table council member move smaller plate front seat council session interview thr set decorator claire nie richards explained production designer jim clay came idea represented council coming part meeting ryan condal added everybody show work punch thought really cool way visualizing set formality small council chamber enjoyable thing like world 7 notice first small council meeting one stone left central plate daemon second meeting begin remaining stone lack extra stone chair implies viserys simply named master whisperer point
118,house hightower
119,much information given house hightower family tree book thus tv series expanded several point
120,mention ever made alicent mother neither name birth family even alive dead fact never appears narrative imply dead tv version confirmed alicent sympathize rhaenyra loses mother
121,otto older brother current lord hightower beginning viserys reign unnamed book tv series assigned name hobert hightower name minor hightower cousin story
122,gwayne hightower said youngest alicent brother book however information given birth order information brother youngest brother mean older younger alicent tv series condensed make gwayne eldest alicent brother still implies one
123,heir tournament
124,heir tournament scene condenses together several different tournament scene happened book mostly based tourney held celebrate viserys ascension throne held 104 ac year became king year aemma died book criston cole defeated challenger even unhorsing daemon defeating single combat thus earning place kingsguard soon new spot opened tourney timed occur exactly viserys son baelon born following year seven year later infamous black green tournament criston cole also unhorsed gwayne hightower gwayne unhorsed daemon using dirty move intentionally striking horse
125,lead horse wrangler camilla naprous game throne returned work house dragon explained team used 30 horse tournament sequence 3
126,tournament stadium king landing mostly exists cgi extension finished screen version designed fit 1 000 people though 150 extra actually present set spaced due covid filming restriction digitally copied populate entire cgi stadium 3
127,armor knight wear tournament designed intentionally extravagant impractical highlight much age decadence opulence major war living memory example dragon wing daemon helmet tower turret gwayne hightower head would blatantly catch sword blow functional armor meant deflect incoming blow sapochnik often talked idea jousting tournament wearing crazy armor literally work protect really anymore 8 costume designer jany temime said drew inspiration variety place design element oriental armor persian armor greek armor 3
128,daemon targaryen tournament armor sophisticated design took 16 week get shape 8 10 week manufacture made team 10 12 people dragon helmet went seven eight incarnation final one even dragon earlier version key feature temime wanted keep iteration ruby eye dragon atop helmet always pointed forward directly staring whoever daemon facing 3
129,weapon criston cole wields consistently referred morningstar book though inaccurate real life solid spiked club called morningstar iron ball attached stick chain called flail regardless whether ball end chain spiked westeros however officially called morningstar martin consistently call
130,daemon selects jousting opponent line rider left right bear heraldry house bolton house tyrell house mallister house corbray house hightower gwayne daemon pick house lefford house cole criston house stark house lannister house baratheon house tully house darklyn house tarly central rail tourney ground decorated truncated version heraldry clearly recognizable lannister lion head whole body others identifiable compared full version green flame tower house hightower bleeding heart house corbray etc
131,house darklyn actually extinct time game throne rebellion known defiance duskendale daenerys father mad king executed
132,costume worn tourney attendant musician announcer feature targaryen sigil color reversed black dragon red background unintentionally recreates heraldry house blackfyre younger branch house targaryen fight series civil war main branch first blackfyre rebellion however fought 90 year event episode current time reversed color scheme sigil meaning associated
133,tournament rhaenyra constantly playing valyrian steel necklace daemon gave book mention one rhaenyra character tic would play jewelry thinking
134,alicent character tic engaging mild self harm biting picking nail however invention tv series
135,mentioned dialogue house cole minor family hereditary steward service house dondarrion southern border stormlands dorne borderland known dornish march criston described looking part dornish however coal black hair pale green eye though implausible given contested region border constantly shifting century
136,tournament rhaenys targaryen refers borros baratheon cousin rhaenys mother jocelyn baratheon sister boremund baratheon seen later swearing scene throne borros boremund son making rhaenys first cousin
137,house baratheon heraldry tournament accurately depicts stag crown around neck game throne season 1 included scene bran stark remarked stag heraldry gained crown robert baratheon usurped throne erroneous first dunk egg prequel novella released 1998 established always crowned stag originally crowned stag heraldry old storm king house durrandon founder orys baratheon married daughter last storm king copied heraldry
138,tournament lord lyman beesbury wager five gold dragon daemon raise point idea relative money value like prequel era stated dialogue invention tv series first prequel setting george r r martin wrote tale dunk egg began 90 year main novel established currency value westeros realistically fluctuate time experiencing inflation deflation money value dunk egg era four time main novel e jaime brienne consider 1 gold dragon good price horse dunk sold horse almost 4 gold dragon first novella contrast fire blood simply give money value dance dragon era might inflation play royal coinage could revalued time period adding higher lower ratio gold comparison dialogue invented game throne season 1 book tournament scene renly baratheon wagered petyr baelish 100 gold dragon joust like renly littlefinger lyman beesbury member small council probably capable making equivalently large bet necessarily mean know 100 gold dragon worth much renly beesbury feel like making large bet money value come season progress
139,aemma arryn
140,aemma arryn death childbirth mentioned one sentence fire blood universe history book queen aemma brought bed maegor holdfast died whilst giving birth son viserys targaryen desired long tv series expanded show graphic detail death emergency caesarean section july 2022 cover story hollywood reporter 9 well inside episode video showrunners said wanted emphasize realistically without gratuitous dangerous childbirth medieval level medical technology cast crew elaborated interview aemma death childbirth meant traumatic hang like cloud viserys rhaenyra rest life viserys haunted guilt rhaenyra blame essentially murdering mother impression make defined role woman medieval society supposed drive accept constraint
141,emma arcy adult rhaenyra said rhaenyra traumatic event also something defines journey type woman want perceives happens mother form abuse mother loses control loses bodily autonomy think rhaenyra sure hell going let happen 10
142,aemma arryn actress sian brooke said quite hard think woman put aemma position vulnerable think vessel childbirth got battle showing man eternal quest power status within got woman mercy man decision think made huge leap forward woman able make decision body quite shocking sadly similarity century ago 11
143,sapochnik confirmed exact wording line viserys sometimes father make impossible choice specific intentional idea queen aemma get choose fate even though ’ right king viserys grand maester never think consult powerless decision body 12
144,director miguel sapochnik said thr medieval time giving birth violence dangerous get 50 50 chance making number birth show basically decided give different theme explore different perspective way bunch battle throne interview popsugar sapochnik elaborated gave theme birth theme birth torture birth theme agony ecstasy birth theme impasse birth theme battle trying look different way 13
145,sapochnik continued extensive interview la time hope intention show — beyond primary one entertainment — shine light experience men woman world parallel past present know may sound extreme wanted difficult watch wanted people remember matter thought viserys could never take back story inciting incident needed strong unflinching 14
146,sapochnik continued la time interview explain effort refine scene realistic gratuitous audience 15
147,two professional midwife present set talk u reality caesarean without anesthesia modern instrument medicine also tried make sure represent effect resulting blood loss mother clear killed one two real midwife play one midwife screen
148,sapochnik ’ goal shy away happening also sensationalize resulted painstaking editing process began version began slowly whittling away much felt gratuitous repeat beat intercut jousting sequence several shot became redundant cut made
149,editing process tweaked scene point view shifting away viserys experience birth onto aemma felt ’ found right balance neither glorified shied away point trying make
150,finally showrunners played scene many woman possible get feedback anxious get wrong unanimously feedback positive felt violent enough
